,latitude,longitude,cities,countrycode,kmeans_label,db_label
184,49.8844,-97.14704,Winnipeg,CA,0,0
185,39.11417,-94.62746,Kansas City,US,0,0
186,43.3601,-80.31269,Cambridge,CA,0,0
187,-24.71361,-53.74306,Toledo,BR,3,0
188,30.224090000000004,-92.01984,Lafayette,US,0,0
189,21.42664,39.82563,Mecca,SA,2,4
190,16.91675,-89.91898,San Benito,GT,0,0
191,40.2737,-76.88441999999999,Harrisburg,US,0,0
192,25.89009,-80.18670999999999,North Miami,US,0,0
193,40.11059,-88.20727,Urbana,US,0,0
194,40.44062,-79.99589,Pittsburgh,US,0,0
195,39.73915,-104.9847,Denver,US,0,0
196,10.65245,-61.388780000000004,Tunapuna,TT,3,0
197,21.974729999999997,96.08359,Mandalay,MM,1,1
198,40.014990000000004,-105.27055,Boulder,US,0,0
200,39.084,-77.15276,Rockville,US,0,0
201,42.412240000000004,-82.18494,Chatham,CA,0,0
202,34.063340000000004,-117.65088999999999,Ontario,US,0,0
203,40.85216,14.26811,Naples,IT,2,2
204,7.073060000000001,125.61278,Davao,PH,1,1
